axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:vgrd_m
34.0,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.316813945770264
34.0,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.586813926696777
34.0,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-8.29681396484375
34.0,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.086813926696777
34.0,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-3.4968137741088867
34.0,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.8968139290809631
34.0,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.08318603038787842
34.0,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-1.6468138694763184
34.0,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-3.3768138885498047
34.0,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.7168139219284058
34.0,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.613186001777649
34.0,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.4331860542297363
34.0,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.523185968399048
34.0,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.193186044692993
34.0,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.3331860303878784
34.0,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.9368139505386353
33.75,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.686813831329346
33.75,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-7.316813945770264
33.75,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.906813621520996
33.75,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.896813869476318
33.75,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.996813774108887
33.75,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-5.636813640594482
33.75,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-3.3768138885498047
33.75,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.6968139410018921
33.75,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.05318603292107582
33.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-1.6168138980865479
33.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.9568139314651489
33.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.31318601965904236
33.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.903186023235321
33.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.8031859397888184
33.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.42318594455719
33.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.25318601727485657
33.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.3031860291957855
33.5,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.716814041137695
33.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.196814060211182
33.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.17681360244751
33.5,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.206813812255859
33.5,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-6.2668137550354
33.5,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-5.786813735961914
