axis:latitude,axis:longitude,axis:reftime,axis:time,axis:z,data:ugrd_m
34.75,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.5666210651397705
34.75,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.6766210794448853
34.75,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.8766210079193115
34.75,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.78662109375
34.75,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.486620903015137
34.75,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,7.376620769500732
34.75,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,9.206621170043945
34.75,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,6.966620922088623
34.5,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.236620903015137
34.5,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,4.336620807647705
34.5,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.1866209506988525
34.5,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.6266210079193115
34.5,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.03662109375
34.5,-119.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.6466211080551147
34.5,-119.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.8166210651397705
34.5,-119.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.6666210889816284
34.5,-119.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.23337890207767487
34.5,-118.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,-0.5533788800239563
34.5,-118.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.9166210889816284
34.5,-118.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.406620979309082
34.5,-118.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.846621036529541
34.5,-117.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,2.776621103286743
34.5,-117.75000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,3.6266210079193115
34.5,-117.49999999999999,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,1.2266210317611694
34.5,-117.25000000000003,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,0.986621081829071
34.25,-121.25,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.376620769500732
34.25,-120.99999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.016621112823486
34.25,-120.75000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,5.146620750427246
34.25,-120.49999999999997,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,7.476621150970459
34.25,-120.25000000000001,"2022-05-05T00:00:00","2022-05-06T02:00:00",10.0,9.026620864868164
